time	tictoc	state	task counter	tube width	phi des	v ropod	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
5.5	0.000423	2	0	1.23511	0.0462266	0.937785	3.24977	4.03294	-1.87118	4.19899	3.51916	1.35194	0.860066	0.537362	-0.0455656	-0.116455	-0.5	
5.6	0.000449	2	0	1.23511	0.026493	0.934208	3.24977	4.03294	-1.87118	4.18482	3.43571	1.3553	0.751313	0.534347	-0.040136	-0.132365	-0.5	
5.7	0.00048	2	0	1.23511	0.026493	0.912806	3.19381	3.80995	-1.86247	4.18062	3.354	1.35382	0.751254	0.531169	-0.0401069	-0.1867	-0.5	
5.8	0.00042	2	0	1.23511	0.0193013	0.927485	3.19381	3.80995	-1.86247	4.13998	3.29943	1.34776	0.751022	0.527833	-0.0753897	-0.218168	-0.5	
5.9	0.001245	2	0	1.23511	0.0193013	0.905947	3.14302	3.60196	-1.85979	3.84026	3.25757	0.728051	0.396666	0.326908	-0.192062	-0.126906	-0.5	
6	0.001282	2	0	1.23511	0.0171326	0.867667	3.14302	3.60196	-1.85979	3.85647	3.24252	1.18326	0.396622	0.326732	-0.148057	-0.124812	-0.5	
6.1	0.001308	2	0	1.23511	0.0171326	0.889084	3.09344	3.40633	-1.85239	3.76973	3.2252	1.30262	0.286019	0.326437	-0.189871	-0.0934324	-0.5	
6.2	0.000407	2	0	1.23511	0.0113719	0.882456	3.09344	3.40633	-1.85239	3.99878	3.08937	2.88055	0.415406	0.169135	0.0470432	-0.152146	-0.5	
6.3	0.000413	2	0	1.23511	0.0113719	0.868733	3.05585	3.22531	-1.84659	4.06709	3.01695	2.83383	0.468115	0.07787	0.0848971	-0.160692	-0.5	
6.4	0.000401	2	0	1.23511	0.00174097	0.876807	3.05585	3.22531	-1.84659	4.25441	2.90744	2.85266	0.468052	0.0778439	0.269727	-0.253221	-0.5	
6.5	0.000397	2	0	1.23511	0.00174097	0.83035	2.99989	3.04894	-1.8471	4.27541	2.903	2.85529	0.467718	0.0777987	0.271853	-0.243985	-0.5	
