time	tictoc	state	task counter	tube width	phi des	v ropod odom	v ropod cmd	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
10.1	0.000877	5	0	1.5	1.39755	0.335	0.335	2.68273	1.1105	-1.68842	0	0	0	0	0	0	0	0	
10.2	0.000979	5	0	1.5	1.37142	0.335	0.335	2.67608	1.11149	-1.68857	0	0	0	0	0	0	0	0	
10.3	0.00094	5	0	1.5	1.37214	0.335	0.335	2.7068	1.09829	-1.65805	0	0	0	0	0	0	0	0	
10.4	0.000962	5	0	1.5	1.34452	0.335	0.335	2.71144	1.09476	-1.66678	0	0	0	0	0	0	0	0	
10.5	0.0009	5	0	1.5	1.35468	0.335	0.335	2.74276	1.08298	-1.636	0	0	0	0	0	0	0	0	
10.6	0.000922	5	0	1.5	1.32579	0.335	0.335	2.7405	1.08184	-1.64204	0	0	0	0	0	0	0	0	
10.7	0.000846	5	0	1.5	1.33297	0.335	0.335	2.77205	1.07062	-1.61131	0	0	0	0	0	0	0	0	
10.8	0.000901	5	0	1.5	1.30374	0.335	0.335	2.77122	1.06619	-1.62048	0	0	0	0	0	0	0	0	
10.9	0.000795	5	0	1.5	1.31589	0.335	0.335	2.80294	1.05546	-1.5898	0	0	0	0	0	0	0	0	
11	0.000889	5	0	1.5	1.28637	0.335	0.335	2.79928	1.06032	-1.59823	0	0	0	0	0	0	0	0	
11.1	0.00085	5	0	1.5	1.29234	0.335	0.335	2.83109	1.04983	-1.56768	0	0	0	0	0	0	0	0	
11.2	0.00087	5	0	1.5	1.26277	0.335	0.335	2.82442	1.05311	-1.5665	0	0	0	0	0	0	0	0	
11.3	0.000915	5	0	1.5	1.26069	0.335	0.335	2.85637	1.04303	-1.53614	0	0	0	0	0	0	0	0	
11.4	0.000829	5	0	1.5	1.23101	0.335	0.335	2.85216	1.04135	-1.54132	0	0	0	0	0	0	0	0	
11.5	0.000908	5	0	1.5	1.23803	0.335	0.335	2.8842	1.03155	-1.51112	0	0	0	0	0	0	0	0	
11.6	0.000867	5	0	1.5	1.20833	0.335	0.335	2.87763	1.0357	-1.51397	0	0	0	0	0	0	0	0	
11.7	0.000805	5	0	1.5	1.2097	0.335	0.335	2.90986	1.0265	-1.48385	0	0	0	0	0	0	0	0	
11.8	0.000901	5	0	1.5	1.17966	0.335	0.335	2.90561	1.03012	-1.4837	0	0	0	0	0	0	0	0	
11.9	0.000877	5	0	1.5	1.17796	0.335	0.335	2.93792	1.02115	-1.45383	0	0	0	0	0	0	0	0	
12	0.000889	5	0	1.5	1.148	0.335	0.335	2.93744	1.02004	-1.45673	0	0	0	0	0	0	0	0	
12.1	0.00091	5	0	1.5	1.1517	0.335	0.335	2.96976	1.01112	-1.42717	0	0	0	0	0	0	0	0	
12.2	0.000887	5	0	1.5	1.12202	0.335	0.335	2.96631	1.01663	-1.42467	0	0	0	0	0	0	0	0	
12.3	0.000863	5	0	1.5	1.11661	0.335	0.335	2.99868	1.00785	-1.39545	0	0	0	0	0	0	0	0	
12.4	0.000869	5	0	1.5	1.08717	0.335	0.335	2.99668	1.01207	-1.39684	0	0	0	0	0	0	0	0	
12.5	0.000771	5	0	1.5	1.08622	0.335	0.335	3.02916	1.00367	-1.36783	0	0	0	0	0	0	0	0	
12.6	0.000952	5	0	1.5	1.05673	0.335	0.335	3.02917	1.00312	-1.36815	0	0	0	0	0	0	0	0	
12.7	0.000749	5	0	1.5	1.05739	0.335	0.335	3.06135	0.993715	-1.34002	0	0	0	0	0	0	0	0	
12.8	0.000832	5	0	1.5	1.02948	0.335	0.335	3.0666	0.993641	-1.33227	0	0	0	0	0	0	0	0	
12.9	0.000862	5	0	1.5	1.02083	0.335	0.335	3.09633	0.985881	-1.30301	0	0	0	0	0	0	0	0	
13	0.000765	5	0	1.5	0.991175	0.335	0.335	3.13585	0.978157	-1.26325	0	0	0	0	0	0	0	0	
13.1	0.000784	5	0	1.5	0.949227	0.335	0.335	3.16848	0.970218	-1.23605	0	0	0	0	0	0	0	0	
13.2	0.000921	5	0	1.5	0.921219	0.335	0.335	3.18329	0.969895	-1.22228	0	0	0	0	0	0	0	0	
13.3	0.000842	5	0	1.5	0.904985	0.335	0.335	3.21538	0.961196	-1.19303	0	0	0	0	0	0	0	0	
13.4	0.000794	5	0	1.5	0.875517	0.335	0.335	3.26203	0.951658	-1.15741	0	0	0	0	0	0	0	0	
13.5	0.000868	5	0	1.5	0.837587	0.335	0.335	3.29475	0.94402	-1.13195	0	0	0	0	0	0	0	0	
13.6	0.000809	5	0	1.5	0.81111	0.335	0.335	3.31045	0.944575	-1.11053	0	0	0	0	0	0	0	0	
13.7	0.00081	5	0	1.5	0.786506	0.335	0.335	3.3488	0.940343	-1.07733	0	0	0	0	0	0	0	0	
13.8	0.00078	5	0	1.5	0.749091	0.335	0.335	3.39396	0.934903	-1.03878	0	0	0	0	0	0	0	0	
13.9	0.000812	5	0	1.5	0.705884	0.335	0.335	3.4267	0.927268	-1.01578	0	0	0	0	0	0	0	0	
14	0.000898	5	0	1.5	0.681862	0.335	0.335	3.44829	0.925626	-1.00181	0	0	0	0	0	0	0	0	
14.1	0.000755	5	0	1.5	0.665057	0.335	0.335	3.48417	0.917345	-0.976116	0	0	0	0	0	0	0	0	
14.2	0.000833	5	0	1.5	0.638189	0.335	0.335	3.53392	0.907218	-0.942532	0	0	0	0	0	0	0	0	
14.3	0.000769	5	0	1.5	0.602117	0.335	0.335	3.56641	0.898695	-0.922449	0	0	0	0	0	0	0	0	
14.4	0.000742	5	0	1.5	0.570253	0.335	0.335	3.58452	0.901912	-0.910476	0	0	0	0	0	0	0	0	
14.5	0.000801	5	0	1.5	0.524776	0.335	0.335	3.62535	0.89214	-0.886828	0	0	0	0	0	0	0	0	
14.6	0.000859	5	0	1.5	0.469654	0.335	0.335	3.65763	0.882714	-0.868853	0	0	0	0	0	0	0	0	
14.7	0.000812	5	0	1.5	0.432169	0.335	0.335	3.69775	0.874462	-0.847793	0	0	0	0	0	0	0	0	
14.8	0.000847	5	0	1.5	0.381494	0.335	0.335	3.72975	0.864073	-0.83167	0	0	0	0	0	0	0	0	
14.9	0.000774	5	0	1.5	0.351975	0.335	0.335	3.76211	0.851942	-0.818287	0	0	0	0	0	0	0	0	
15	0.000855	5	0	1.5	0.3304	0.335	0.335	3.79347	0.839894	-0.804484	0	0	0	0	0	0	0	0	
15.1	0.00077	5	0	1.5	0.310637	0.335	0.335	3.82391	0.827587	-0.793554	0	0	0	0	0	0	0	0	
15.2	0.00079	5	0	1.5	0.297081	0.335	0.335	3.85472	0.814285	-0.781659	0	0	0	0	0	0	0	0	
15.3	0.00075	5	0	1.5	0.285528	0.335	0.335	3.88418	0.802206	-0.772971	0	0	0	0	0	0	0	0	
15.4	0.000717	5	0	1.5	0.278236	0.335	0.335	3.91461	0.788081	-0.762496	0	0	0	0	0	0	0	0	
15.5	0.000707	5	0	1.5	0.273376	0.335	0.335	3.94502	0.773962	-0.752333	0	0	0	0	0	0	0	0	
15.6	0.000771	5	0	1.5	0.270685	0.335	0.335	3.9718	0.754572	-0.75094	0	0	0	0	0	0	0	0	
15.7	0.000748	5	0	1.5	0.287578	0.335	0.335	4.00227	0.740603	-0.740984	0	0	0	0	0	0	0	0	
15.8	0.000821	5	0	1.5	0.287846	0.335	0.335	4.03277	0.726699	-0.731265	0	0	0	0	0	0	0	0	
15.9	0.000781	5	0	1.5	0.290437	0.335	0.335	4.06327	0.71282	-0.721819	0	0	0	0	0	0	0	0	
16	0.000735	5	0	1.5	0.295523	0.335	0.335	4.08035	0.693763	-0.729069	0	0	0	0	0	0	0	0	
16.1	0.000769	5	0	1.5	0.323481	0.335	0.335	4.11095	0.680151	-0.719436	0	0	0	0	0	0	0	0	
16.2	0.000726	5	0	1.5	0.330182	0.335	0.335	4.1418	0.667099	-0.709544	0	0	0	0	0	0	0	0	
16.3	0.000742	5	0	1.5	0.338655	0.335	0.335	4.17285	0.654536	-0.699476	0	0	0	0	0	0	0	0	
16.4	0.000859	5	0	1.5	0.349338	0.335	0.335	4.1926	0.63044	-0.709449	0	0	0	0	0	0	0	0	
16.5	0.000718	5	0	1.5	0.382379	0.335	0.335	4.22393	0.618624	-0.698679	0	0	0	0	0	0	0	0	
16.6	0.000768	5	0	1.5	0.394151	0.335	0.335	4.25548	0.607454	-0.68762	0	0	0	0	0	0	0	0	
16.7	0.000758	5	0	1.5	0.408604	0.335	0.335	4.28228	0.579521	-0.685676	0	0	0	0	0	0	0	0	
16.8	0.000773	5	0	1.5	0.432798	0.335	0.335	4.3142	0.56949	-0.673953	0	0	0	0	0	0	0	0	
16.9	0.000741	5	0	1.5	0.447516	0.335	0.335	4.35125	0.55588	-0.668013	0	0	0	0	0	0	0	0	
17	0.000779	5	0	1.5	0.472207	0.335	0.335	4.3835	0.547032	-0.655739	0	0	0	0	0	0	0	0	
17.1	0.000728	5	0	1.5	0.485967	0.335	0.335	4.41274	0.53591	-0.643977	0	0	0	0	0	0	0	0	
17.2	0.000762	5	0	1.5	0.49805	0.335	0.335	4.44551	0.529163	-0.630527	0	0	0	0	0	0	0	0	
17.3	0.000662	5	0	1.5	0.510489	0.335	0.435	4.48042	0.523197	-0.620927	0	0	0	0	0	0	0	1	
17.4	0.000717	1	2	1.5	0.393045	0.435	0.535	4.51861	0.515937	-0.605604	0	0	0	0	0	0	0	1	
17.5	0.00074	1	2	1.5	0.36703	0.535	0.635	4.54751	0.522489	-0.596903	0	0	0	0	0	0	0	1	
17.6	0.000699	1	2	1.5	0.316338	0.635	0.735	4.60581	0.513352	-0.573456	0	0	0	0	0	0	0	1	
17.7	0.00078	1	2	1.5	0.259411	0.735	0.835	4.62159	0.521235	-0.571077	0	0	0	0	0	0	0	1	
17.8	0.000695	1	2	1.5	0.230777	0.835	0.935	4.699	0.504984	-0.545164	0	0	0	0	0	0	0	1	
17.9	0.000727	1	2	1.5	0.181985	0.935	0.938	4.7049	0.505258	-0.541912	0	0	0	0	0	0	0	0.03	
18	0.000755	1	2	1.5	0.173697	0.938	0.938	4.79503	0.479313	-0.519785	0	0	0	0	0	0	0	0	
